run	success	app_xt	app_R2	car_xt	car_R2	pick	deliv
f9_nat_pen24	0.5732	0.1283	0.9607	0.0465	0.9888	0.8691	0.4839
f8_lat08_r1	0.6348	0.2299	0.9281	0.0683	0.9800	0.8535	0.6389
f8_lat08_r2	0.6885	0.2324	0.9392	0.0736	0.9697	0.9492	0.5385
f8_lat08_r3	0.6357	0.2395	0.9513	0.0788	0.9645	0.9746	0.4000
f8_lat20_r1	0.4648	0.1107	0.9778	0.0883	0.9713	0.9336	-
f8_lat20_r2	0.4814	0.1463	0.9615	0.0704	0.9736	0.8438	0.4615
f8_lat20_r3	0.4551	0.1245	0.9711	0.0757	0.9779	0.8906	-
f8_pen015_r1	0.7871	0.2578	0.9201	0.0732	0.9473	0.9277	0.6667
f8_pen015_r2	0.8027	0.2571	0.8811	0.0637	0.9652	0.8730	0.7241
f8_pen015_r3	0.8232	0.2506	0.9276	0.0890	0.9325	0.9922	0.3846
f8_pen03_r1	0.7871	0.2146	0.9435	0.0642	0.9663	0.9453	0.5000
f8_pen03_r2	0.8037	0.2204	0.9447	0.0612	0.9678	0.9512	0.6471
f8_pen03_r3	0.7910	0.2263	0.9413	0.0598	0.9606	0.9316	0.5000
f8_pen06_r1	0.7607	0.1604	0.9612	0.0650	0.9722	0.9023	0.5000
f8_pen06_r2	0.7734	0.1510	0.9577	0.0633	0.9723	0.9004	0.3333
f8_pen06_r3	0.7314	0.1660	0.9514	0.0611	0.9682	0.9277	0.4545
f8_pen12_r1	0.7314	0.2036	0.9450	0.0598	0.9856	0.8145	0.6000
f8_pen12_r2	0.7275	0.1733	0.9600	0.0598	0.9790	0.8945	0.6400
f8_pen12_r3	0.7383	0.1660	0.9588	0.0536	0.9827	0.8945	0.5128
f8_xt1_r1	0.7891	0.2385	0.9235	0.0725	0.9399	0.9531	0.4815
f8_xt1_r2	0.7959	0.2615	0.9198	0.0758	0.9310	0.9668	0.5789
f8_xt1_r3	0.8057	0.2471	0.9174	0.0667	0.9447	0.9512	0.6000
f9_nat_pen03_r1	0.8350	0.3008	0.8663	0.0677	0.9205	0.8770	0.5556
f9_nat_pen03_r2	0.8115	0.2907	0.8669	0.0595	0.9285	0.9258	0.6364
f9_nat_pen03_r3	0.8086	0.3066	0.8744	0.0643	0.9352	0.9102	0.5897
f9_nat_pen06_r1	0.7910	0.2169	0.9422	0.0694	0.9350	0.9707	0.4000
f9_nat_pen06_r2	0.7871	0.1880	0.9394	0.0673	0.9513	0.9648	0.7143
f9_nat_pen06_r3	0.7852	0.1972	0.9375	0.0725	0.9532	0.9492	0.4375
f9_nat_pen12_r1	0.6787	0.1607	0.9527	0.0509	0.9804	0.8965	0.6552
f9_nat_pen12_r2	0.7295	0.1794	0.9398	0.0506	0.9828	0.8672	0.5405
f9_nat_pen12_r3	0.6943	0.1643	0.9507	0.0595	0.9723	0.9062	0.5714
f9_nat_pen24_r1	0.5723	0.1199	0.9540	0.0514	0.9877	0.8340	0.2927
f9_nat_pen24_r2	0.5762	0.1050	0.9747	0.0524	0.9866	0.9062	0.4286
f9_nat_pen24_r3	0.5596	0.1209	0.9682	0.0513	0.9866	0.9023	0.3929
f10b_fail	0.7490	0.1817	0.9441	0.0630	0.9642	0.9336	0.2609
f10_L06	0.7861	0.2635	0.9293	0.0733	0.9461	0.9590	0.5000
f10b_head	0.8145	0.2006	0.9325	0.0629	0.9548	0.9395	0.5652
f10b_lcar	0.7822	0.2020	0.9238	0.0569	0.9673	0.8965	0.4091
f10b_lgain	0.7891	0.2752	0.8634	0.0663	0.9801	0.8086	0.7091
f10_L20	0.7812	0.2224	0.9172	0.0596	0.9675	0.8633	0.6857
f10_K3	0.7754	0.2906	0.8519	0.0641	0.9815	0.8184	0.7419
f10b_fail_r1	0.7676	0.1846	0.9401	0.0588	0.9634	0.9336	0.4688
f10b_fail_r2	0.7266	0.2096	0.9332	0.0590	0.9687	0.9355	0.2609
f10b_fail_r3	0.7266	0.2007	0.9333	0.0656	0.9596	0.9375	0.4091
f10b_head_r1	0.7852	0.2048	0.9283	0.0587	0.9621	0.9160	0.3846
f10b_head_r2	0.7891	0.2233	0.8881	0.0536	0.9869	0.8301	0.6364
f10b_head_r3	0.8037	0.2142	0.9242	0.0618	0.9665	0.9199	0.4167
f10b_lcar_r1	0.7734	0.2209	0.9286	0.0568	0.9621	0.8730	0.4643
f10b_lcar_r2	0.7959	0.2091	0.8896	0.0783	0.9792	0.7246	0.5500
f10b_lcar_r3	0.7686	0.2231	0.8741	0.0707	0.9776	0.7148	0.5862
f10b_lgain_r1	0.8047	0.2764	0.8766	0.0542	0.9742	0.8301	0.6667
f10b_lgain_r2	0.8086	0.2698	0.8708	0.0524	0.9699	0.8223	0.6744
f10b_lgain_r3	0.8184	0.2763	0.8671	0.0587	0.9733	0.8008	0.5962
f10_K10	0.7891	0.1812	0.9232	0.0602	0.9707	0.8086	0.7143
f10_K10_r1	0.7598	0.1745	0.9141	0.0646	0.9695	0.8125	0.6154
f10_K10_r2	0.7705	0.1716	0.9018	0.0730	0.9872	0.7695	0.6154
f10_K10_r3	0.7881	0.1897	0.9038	0.0638	0.9826	0.7930	0.6818
f10_K3_r1	0.7988	0.2445	0.9305	0.0762	0.9412	0.9648	0.5500
f10_K3_r2	0.8105	0.2629	0.9174	0.0714	0.9450	0.9570	0.5625
f10_K3_r3	0.8105	0.2879	0.8891	0.0565	0.9718	0.8730	0.5200
f10_L06_r1	0.7842	0.2958	0.8589	0.0546	0.9740	0.8457	0.7429
f10_L06_r2	0.7959	0.3108	0.8663	0.0564	0.9733	0.8164	0.7333
f10_L06_r3	0.7949	0.2904	0.9020	0.0607	0.9554	0.8906	0.6818
f10_L20_r1	0.7676	0.2269	0.9019	0.0634	0.9776	0.8496	0.6667
